# Mutation tests for the foundation self-test — see scripts/analysis/check-mutations.
#
# WHY THIS FILE EXISTS. A check that is broken and a check that is passing both return
# zero rows. That is the only signal SQL gives, so "it returned nothing on healthy data"
# is not evidence a check works — it is exactly what a no-op does. Every defect found in
# this suite so far was a check that had silently become a no-op, usually because a
# comparison went NULL. This file breaks the catalog on purpose, one way per line, and
# asserts the check that is supposed to notice actually does.
#
# Columns, TAB-separated:
#   name            what is being broken, for the report
#   expect          check_name that MUST appear. `*` means "any row at all" — avoid it:
#                   it passes when the WRONG check fires, so it proves almost nothing
#   sql             statements redefining a view/macro to introduce the defect
#
# Adding a check to catalog_checks.sql? Add a line here breaking what it guards. A check
# with no line is a check nobody has proven fires — and the harness ENFORCES that, in
# both directions: a check with no mutation fails the run, and an entry naming a check
# that no longer exists fails it too.

namesake_count nulled on one	namesake_count_disagree	CREATE TABLE _m AS SELECT * FROM models; CREATE OR REPLACE VIEW models AS SELECT * REPLACE (CASE WHEN id = (SELECT min(id) FROM _m) THEN NULL ELSE namesake_count END AS namesake_count) FROM _m;
namesake_count keyed on raw name	namesake_count_disagree	CREATE OR REPLACE VIEW _namesake_live_n AS SELECT name AS name_key, count(*) AS n FROM fc.catalog_machinemodel WHERE status IS DISTINCT FROM 'deleted' GROUP BY name;
namesake_count counts deleted too	namesake_count_disagree	CREATE OR REPLACE VIEW _namesake_live_n AS SELECT name_key(name) AS name_key, count(*) AS n FROM fc.catalog_machinemodel GROUP BY name_key(name);
models.namesake_count zeroed	namesake_count_zero_on_live	CREATE TABLE _m AS SELECT * FROM models; CREATE OR REPLACE VIEW models AS SELECT * REPLACE (0::BIGINT AS namesake_count) FROM _m;
manufacturer country collapsed	manufacturer_country_collapsed	CREATE TABLE _m AS SELECT * FROM manufacturers; CREATE OR REPLACE VIEW manufacturers AS SELECT * REPLACE ('usa' AS country_slug) FROM _m;
manufacturer n_countries nulled	manufacturer_country_collapsed	CREATE TABLE _m AS SELECT * FROM manufacturers; CREATE OR REPLACE VIEW manufacturers AS SELECT * REPLACE (NULLIF(n_countries, 1) AS n_countries) FROM _m;
manufacturer last-model year nulled	manufacturer_year_span_malformed	CREATE TABLE _m AS SELECT * FROM manufacturers; CREATE OR REPLACE VIEW manufacturers AS SELECT * REPLACE (CASE WHEN slug = (SELECT min(slug) FROM _m WHERE n_dated > 0) THEN NULL ELSE year_of_last_model END AS year_of_last_model) FROM _m;
manufacturer year span inverted	manufacturer_year_span_malformed	CREATE TABLE _m AS SELECT * FROM manufacturers; CREATE OR REPLACE VIEW manufacturers AS SELECT * REPLACE (year_of_last_model AS year_of_first_model, year_of_first_model AS year_of_last_model) FROM _m WHERE year_of_first_model IS DISTINCT FROM year_of_last_model;
manufacturer n_dated nulled	manufacturer_year_span_malformed	CREATE TABLE _m AS SELECT * FROM manufacturers; CREATE OR REPLACE VIEW manufacturers AS SELECT * REPLACE (NULLIF(n_dated, 3) AS n_dated) FROM _m;
manufacturer n_dated exceeds n_nonvariant_models	manufacturer_year_span_malformed	CREATE TABLE _m AS SELECT * FROM manufacturers; CREATE OR REPLACE VIEW manufacturers AS SELECT * REPLACE (CASE WHEN n_dated > 0 THEN n_dated - 1 ELSE n_nonvariant_models END AS n_nonvariant_models) FROM _m;
collision labels truncated	collision_grain_broken	CREATE TABLE _m AS SELECT * FROM model_number_collisions; CREATE OR REPLACE VIEW model_number_collisions AS SELECT * REPLACE (labels[1:1] AS labels) FROM _m;
collision labels nulled	collision_grain_broken	CREATE TABLE _m AS SELECT * FROM model_number_collisions; CREATE OR REPLACE VIEW model_number_collisions AS SELECT * REPLACE (CASE WHEN n = (SELECT max(n) FROM _m) THEN NULL ELSE labels END AS labels) FROM _m;
collision ids truncated	collision_grain_broken	CREATE TABLE _m AS SELECT * FROM model_number_collisions; CREATE OR REPLACE VIEW model_number_collisions AS SELECT * REPLACE (model_ids[1:1] AS model_ids) FROM _m;
name_norm ascii-only	macro_name_norm	CREATE OR REPLACE MACRO name_norm(s) AS trim(regexp_replace(lower(COALESCE(s, '')), '[^a-z0-9]+', ' ', 'g'));
name_norm loses accent folding	macro_name_norm	CREATE OR REPLACE MACRO name_norm(s) AS trim(regexp_replace(lower(COALESCE(s, '')), '[^\p{L}\p{N}]+', ' ', 'g'));
name_strip_paren greedy	macro_name_strip_paren	CREATE OR REPLACE MACRO name_strip_paren(s) AS regexp_replace(COALESCE(s, ''), '\s*\([^()]*\)\s*', '', 'g');
name_key returns NULL	macro_name_key	CREATE OR REPLACE MACRO name_key(s) AS NULL::VARCHAR;
presumed_producing ignores the recency window	macro_presumed_producing	CREATE OR REPLACE MACRO presumed_producing(operating_status, year_of_last_model) AS operating_status = 'ongoing';
presumed_producing window widened	presumed_producing_window_drift	CREATE OR REPLACE MACRO presumed_producing(operating_status, year_of_last_model) AS operating_status = 'ongoing' OR (operating_status = 'unknown' AND year_of_last_model IS NOT NULL AND year_of_last_model > year(current_date) - 10);
manufacturer rollup loses ongoing precedence	mfr_status_rollup_disagrees	CREATE OR REPLACE VIEW _mfr_status AS SELECT manufacturer_id, CASE WHEN bool_and(operating_status = 'ended') THEN 'ended' ELSE 'unknown' END AS operating_status FROM fc.catalog_corporateentity WHERE status IS DISTINCT FROM 'deleted' AND manufacturer_id IS NOT NULL GROUP BY manufacturer_id;
manufacturer status pinned to one value	mfr_status_rollup_disagrees	CREATE TABLE _m AS SELECT * FROM manufacturers; CREATE OR REPLACE VIEW manufacturers AS SELECT * REPLACE ('unknown' AS operating_status) FROM _m;
manufacturer location derived from models	mfr_location_rollup_disagrees	CREATE OR REPLACE VIEW _mfr_location AS SELECT manufacturer_id, count(DISTINCT location_path) AS n_locations, CASE WHEN count(DISTINCT location_path) = 1 THEN min(location_path) END AS location_path, count(DISTINCT country_slug) AS n_countries, CASE WHEN count(DISTINCT country_slug) = 1 THEN min(country_slug) END AS country_slug FROM models WHERE manufacturer_id IS NOT NULL GROUP BY manufacturer_id;
manufacturer location pinned to one place	mfr_location_rollup_disagrees	CREATE TABLE _m AS SELECT * FROM manufacturers; CREATE OR REPLACE VIEW manufacturers AS SELECT * REPLACE ('usa/il/chicago' AS location_path) FROM _m;
edge union lossy	union_integrity	CREATE OR REPLACE VIEW model_edges AS SELECT model_id, 'lineage_fk' AS edge_source, edge_kind AS relationship_type, NULL::VARCHAR AS license_status, target_id, NULL::VARCHAR AS target_label, * EXCLUDE (model_id, edge_kind, target_id) FROM model_lineage;
alias table no longer read by any view	unexposed_alias_table	CREATE TABLE _m AS SELECT * FROM person_aliases; CREATE OR REPLACE VIEW person_aliases AS SELECT * FROM _m;
view comment dropped	undocumented_view	COMMENT ON VIEW locations IS NULL;
vocab definition dropped	undocumented_vocab	CREATE TABLE _m AS SELECT * FROM domain_vocab; CREATE OR REPLACE VIEW domain_vocab AS SELECT * FROM _m WHERE slug <> 'floor';
vocab defines a dead term	stale_vocab_doc	CREATE TABLE _m AS SELECT * FROM domain_vocab; CREATE OR REPLACE VIEW domain_vocab AS SELECT * FROM _m UNION ALL SELECT 'cabinet','no-such-cabinet','invented',1;
vocab dim not in _dim_vocab	unmapped_vocab_dim	CREATE TABLE _m AS SELECT * FROM domain_vocab; CREATE OR REPLACE VIEW domain_vocab AS SELECT * FROM _m UNION ALL SELECT 'corporateentity','acme','invented',1;
vocab heading renamed away	stale_vocab_dim	CREATE TABLE _m AS SELECT * FROM domain_vocab; CREATE OR REPLACE VIEW domain_vocab AS SELECT * FROM _m WHERE dim <> 'cabinet';
models keeps deleted rows	models_has_deleted	CREATE TABLE _m AS SELECT * FROM models; CREATE OR REPLACE VIEW models AS SELECT * REPLACE (CASE WHEN id = (SELECT min(id) FROM _m) THEN (SELECT min(id) FROM fc.catalog_machinemodel WHERE status = 'deleted') ELSE id END AS id) FROM _m;
theme grain duplicated	theme_grain_dup	CREATE TABLE _m AS SELECT * FROM model_themes; CREATE OR REPLACE VIEW model_themes AS SELECT * FROM _m UNION ALL SELECT * FROM _m;
gameplay-feature grain duplicated	gpf_grain_dup	CREATE TABLE _m AS SELECT * FROM model_gameplay_features; CREATE OR REPLACE VIEW model_gameplay_features AS SELECT * FROM _m UNION ALL SELECT * FROM _m;
lineage grain duplicated	lineage_grain_dup	CREATE TABLE _m AS SELECT * FROM model_lineage; CREATE OR REPLACE VIEW model_lineage AS SELECT * FROM _m UNION ALL SELECT * FROM _m;
theme subject not live	theme_subject_not_live	CREATE TABLE _m AS SELECT machinemodel_id AS model_id, t.id AS theme_id, t.slug AS theme_slug FROM fc.catalog_machinemodel_themes mt JOIN _live_theme t ON t.id = mt.theme_id; CREATE OR REPLACE VIEW model_themes AS SELECT * FROM _m;
gpf subject not live	gpf_subject_not_live	CREATE TABLE _m AS SELECT mgf.machinemodel_id AS model_id, gf.id AS feature_id, gf.slug AS feature_slug, mgf.count AS count FROM fc.catalog_machinemodelgameplayfeature mgf JOIN fc.catalog_gameplayfeature gf ON gf.id = mgf.gameplayfeature_id; CREATE OR REPLACE VIEW model_gameplay_features AS SELECT * FROM _m;
edge subject not live	edge_subject_not_live	CREATE TABLE _m AS SELECT * FROM model_edges; CREATE OR REPLACE VIEW model_edges AS SELECT * REPLACE ((SELECT max(id) + 1 FROM models) AS model_id) FROM _m;
lineage target de-enriched	lineage_target_not_live	CREATE TABLE _m AS SELECT * FROM model_lineage; CREATE OR REPLACE VIEW model_lineage AS SELECT * REPLACE (NULL::VARCHAR AS target_slug) FROM _m;
relationship target de-enriched	relationship_target_not_live	CREATE TABLE _m AS SELECT * FROM model_relationships; CREATE OR REPLACE VIEW model_relationships AS SELECT * REPLACE (CASE WHEN target_id IS NULL THEN target_slug END AS target_slug) FROM _m;
lineage target_id lost	lineage_missing_target_id	CREATE TABLE _m AS SELECT * FROM model_lineage; CREATE OR REPLACE VIEW model_lineage AS SELECT * REPLACE (NULL::BIGINT AS target_id) FROM _m;
target genre mis-enriched	target_genre_mismatch	CREATE TABLE _m AS SELECT * FROM model_lineage; CREATE OR REPLACE VIEW model_lineage AS SELECT * REPLACE ('not-a-genre' AS target_game_format_slug) FROM _m;
relationship_type off-vocabulary	relationship_type_unknown	CREATE TABLE _m AS SELECT * FROM model_relationships; CREATE OR REPLACE VIEW model_relationships AS SELECT * REPLACE ('bogus' AS relationship_type) FROM _m;
license_status off-vocabulary	license_status_unknown	CREATE TABLE _m AS SELECT * FROM model_relationships; CREATE OR REPLACE VIEW model_relationships AS SELECT * REPLACE ('bogus' AS license_status) FROM _m;
edge_source off-vocabulary	edge_source_unknown	CREATE TABLE _m AS SELECT * FROM model_edges; CREATE OR REPLACE VIEW model_edges AS SELECT * REPLACE ('bogus' AS edge_source) FROM _m;
relationship_type nulled	edge_relationship_type_null	CREATE TABLE _m AS SELECT * FROM model_edges; CREATE OR REPLACE VIEW model_edges AS SELECT * REPLACE (NULL::VARCHAR AS relationship_type) FROM _m;
license/source contract broken	edge_license_contract	CREATE TABLE _m AS SELECT * FROM model_edges; CREATE OR REPLACE VIEW model_edges AS SELECT * REPLACE ('unknown' AS license_status) FROM _m;
CE gains a second location	ce_multi_location	CREATE TABLE _m AS SELECT * FROM _ce_location_n; CREATE OR REPLACE VIEW _ce_location_n AS SELECT corporate_entity_id, n + 1 AS n FROM _m;
export market target not a country	export_market_target_not_country	CREATE TABLE _m AS SELECT * FROM model_export_markets; CREATE OR REPLACE VIEW model_export_markets AS SELECT * REPLACE (COALESCE(target_location_id, 1) AS target_location_id, NULL::VARCHAR AS target_country_slug) FROM _m;
live model on soft-deleted dim	model_dim_not_live	CREATE OR REPLACE VIEW _model_dim_liveness AS SELECT r.model_id, r.dim, r.target_id FROM _model_dim_ref r JOIN (SELECT dim, id, CASE WHEN dim = 'game_format_id' THEN 'deleted' ELSE status END AS status FROM _dim_status) d ON d.dim = r.dim AND d.id = r.target_id WHERE d.status = 'deleted';
dim FK added uncovered	uncovered_model_dim	CREATE OR REPLACE VIEW _dim_status AS SELECT * FROM (SELECT 'title_id' AS dim, id, status FROM fc.catalog_title);
dim dropped from _model_dim_wide	dim_status_unreferenced	CREATE OR REPLACE VIEW _model_dim_wide AS SELECT * EXCLUDE (production_status_id) FROM (SELECT m.id AS model_id, m.title_id, m.corporate_entity_id, ce.manufacturer_id, m.game_format_id, m.technology_generation_id, m.technology_subgeneration_id, m.display_type_id, m.display_subtype_id, m.system_id, m.cabinet_id, m.production_status_id FROM fc.catalog_machinemodel m LEFT JOIN fc.catalog_corporateentity ce ON ce.id = m.corporate_entity_id WHERE m.status IS DISTINCT FROM 'deleted');
dim added to _model_dim_wide only	dim_not_liveness_checked	CREATE TABLE _m AS SELECT * FROM _model_dim_wide; CREATE OR REPLACE VIEW _model_dim_wide AS SELECT *, model_id AS invented_dim_id FROM _m;
vocab term defined twice	vocab_grain_dup	CREATE TABLE _m AS SELECT * FROM domain_vocab; CREATE OR REPLACE VIEW domain_vocab AS SELECT * FROM _m UNION ALL SELECT 'cabinet','floor','a conflicting second definition',999;
third EntityStatus value appears	status_unknown	CREATE OR REPLACE VIEW _status_domain AS SELECT 'theme' AS entity, 'archived' AS status;

# ── provenance layer (provenance.sql / provenance_checks.sql) ──
resolved feature edge dropped	gameplay_feature_resolution_disagrees	CREATE TABLE _m AS SELECT * FROM model_gameplay_features; CREATE OR REPLACE VIEW model_gameplay_features AS SELECT * FROM _m WHERE feature_id <> (SELECT min(feature_id) FROM _m);
feature ranking loses a claim	gameplay_feature_resolution_disagrees	CREATE TABLE _m AS SELECT * FROM claims; CREATE OR REPLACE VIEW claims AS SELECT * REPLACE (CASE WHEN field_name = 'gameplay_feature' AND rank = 1 AND claim_id = (SELECT min(claim_id) FROM _m WHERE field_name = 'gameplay_feature' AND rank = 1) THEN NULL ELSE rank END AS rank) FROM _m;
resolved theme edge dropped	theme_resolution_disagrees	CREATE TABLE _m AS SELECT * FROM model_themes; CREATE OR REPLACE VIEW model_themes AS SELECT * FROM _m WHERE theme_id <> (SELECT min(theme_id) FROM _m);
resolved year shifted	year_resolution_disagrees	CREATE TABLE _m AS SELECT * FROM models; CREATE OR REPLACE VIEW models AS SELECT * REPLACE (year + 1 AS year) FROM _m;
member claim value not an object	member_claim_nondict_value	CREATE TABLE _m AS SELECT * FROM claims; CREATE OR REPLACE VIEW claims AS SELECT * REPLACE (CASE WHEN claim_id = (SELECT min(claim_id) FROM _m WHERE is_member) THEN '123' ELSE value END AS value) FROM _m;
scalar claim carries exists flag	scalar_claim_exists_flag	CREATE TABLE _m AS SELECT * FROM claims; CREATE OR REPLACE VIEW claims AS SELECT * REPLACE (CASE WHEN claim_id = (SELECT min(claim_id) FROM _m WHERE NOT is_member) THEN '{"exists": false}' ELSE value END AS value) FROM _m;
register partition lost	multiple_top_ranked	CREATE TABLE _m AS SELECT * FROM claims; CREATE OR REPLACE VIEW claims AS SELECT * REPLACE (1::BIGINT AS rank) FROM _m;
suppressed actor still ranks	suppressed_actor_ranked	CREATE TABLE _m AS SELECT * FROM claims; CREATE OR REPLACE VIEW claims AS SELECT * REPLACE ('suppressed' AS actor_resolution_status) FROM _m;
claim row dropped by a join	claim_rows_dropped	CREATE TABLE _m AS SELECT * FROM claims; CREATE OR REPLACE VIEW claims AS SELECT * FROM _m WHERE claim_id <> (SELECT min(claim_id) FROM _m);
citation instance dropped by a join	citation_instance_rows_dropped	CREATE TABLE _m AS SELECT * FROM citation_instances; CREATE OR REPLACE VIEW citation_instances AS SELECT * FROM _m WHERE citation_instance_id <> (SELECT min(citation_instance_id) FROM _m);
citation tree grows a third level	citation_tree_too_deep	CREATE TABLE _m AS SELECT * FROM _citation_parent_chain; CREATE OR REPLACE VIEW _citation_parent_chain AS SELECT * REPLACE (coalesce(grandparent_id, parent_id) AS grandparent_id) FROM _m;
citation root stops resolving to itself	citation_root_not_self	CREATE TABLE _m AS SELECT * FROM citation_sources; CREATE OR REPLACE VIEW citation_sources AS SELECT * REPLACE (root_citation_source_id + 1 AS root_citation_source_id) FROM _m;
evidence bridge dangles	orphan_claim_citation	CREATE TABLE _m AS SELECT * FROM claim_citations; CREATE OR REPLACE VIEW claim_citations AS SELECT claim_id, 999999999::BIGINT AS citation_instance_id FROM _m;
actor kind outside its domain	unknown_actor_kind	CREATE TABLE _m AS SELECT * FROM claims; CREATE OR REPLACE VIEW claims AS SELECT * REPLACE ('robot' AS actor_kind) FROM _m;
actor resolution status outside its domain	unknown_actor_resolution_status	CREATE TABLE _m AS SELECT * FROM claims; CREATE OR REPLACE VIEW claims AS SELECT * REPLACE ('paused' AS actor_resolution_status) FROM _m;
changeset action outside its domain	unknown_changeset_action	CREATE TABLE _m AS SELECT * FROM claims; CREATE OR REPLACE VIEW claims AS SELECT * REPLACE ('merge' AS changeset_action) FROM _m;
ingest run status outside its domain	unknown_ingest_run_status	CREATE TABLE _m AS SELECT * FROM ingest_runs; CREATE OR REPLACE VIEW ingest_runs AS SELECT * REPLACE ('paused' AS status) FROM _m;
ingest source type outside its domain	unknown_ingest_source_type	CREATE TABLE _m AS SELECT * FROM ingest_sources; CREATE OR REPLACE VIEW ingest_sources AS SELECT * REPLACE ('zine' AS ingest_source_type) FROM _m;
citation source type outside its domain	unknown_citation_source_type	CREATE TABLE _m AS SELECT * FROM citation_sources; CREATE OR REPLACE VIEW citation_sources AS SELECT * REPLACE ('scroll' AS citation_source_type) FROM _m;
host_norm stops stripping www	macro_host_norm	CREATE OR REPLACE MACRO host_norm(h) AS lower(trim(h));
url_host keeps the port	macro_url_host	CREATE OR REPLACE MACRO url_host(u) AS host_norm(regexp_extract(coalesce(u, ''), '^(?:[a-z][a-z0-9+.-]*:)?//(?:[^/@]*@)?([^/?#]*)', 1));
host match loses the label boundary	macro_citation_root_for_host	CREATE OR REPLACE MACRO citation_root_for_host(h) AS (SELECT d.root_citation_source_id FROM citation_root_domains d WHERE ends_with(host_norm(h), d.host) ORDER BY length(d.host) DESC LIMIT 1);
host match stops preferring the longest	macro_citation_root_for_host	CREATE OR REPLACE MACRO citation_root_for_host(h) AS (SELECT d.root_citation_source_id FROM citation_root_domains d WHERE host_norm(h) = d.host OR ends_with(host_norm(h), '.' || d.host) ORDER BY length(d.host) ASC LIMIT 1);
url_path lowercases the path	macro_url_path	CREATE OR REPLACE MACRO url_path(u) AS lower(regexp_extract(coalesce(u, ''), '^(?:[a-z][a-z0-9+.-]*:)?//(?:[^/@]*@)?[^/?#]*([^?#]*)', 1));
url_path keeps the query	macro_url_path	CREATE OR REPLACE MACRO url_path(u) AS regexp_extract(coalesce(u, ''), '^(?:[a-z][a-z0-9+.-]*:)?//(?:[^/@]*@)?[^/?#]*([^#]*)', 1);
domain eligibility loses the path segment boundary	macro_citation_domain_eligible	CREATE OR REPLACE MACRO citation_domain_eligible(h, p, d_host, d_prefix) AS ((host_norm(h) = d_host OR ends_with(host_norm(h), '.' || d_host)) AND CASE WHEN d_prefix = '' THEN NOT _shared_cdn_host(h) ELSE _path_traversal_free(p) AND starts_with(coalesce(p, ''), d_prefix) END);
domain eligibility loses the shared-host exclusion	macro_citation_domain_eligible	CREATE OR REPLACE MACRO citation_domain_eligible(h, p, d_host, d_prefix) AS ((host_norm(h) = d_host OR ends_with(host_norm(h), '.' || d_host)) AND CASE WHEN d_prefix = '' THEN true ELSE _path_traversal_free(p) AND (coalesce(p, '') = d_prefix OR starts_with(coalesce(p, ''), d_prefix || '/')) END);
domain eligibility admits traversal paths	macro_citation_domain_eligible	CREATE OR REPLACE MACRO citation_domain_eligible(h, p, d_host, d_prefix) AS ((host_norm(h) = d_host OR ends_with(host_norm(h), '.' || d_host)) AND CASE WHEN d_prefix = '' THEN NOT _shared_cdn_host(h) ELSE (coalesce(p, '') = d_prefix OR starts_with(coalesce(p, ''), d_prefix || '/')) END);
domain eligibility compares paths case-insensitively	macro_citation_domain_eligible	CREATE OR REPLACE MACRO citation_domain_eligible(h, p, d_host, d_prefix) AS ((host_norm(h) = d_host OR ends_with(host_norm(h), '.' || d_host)) AND CASE WHEN d_prefix = '' THEN NOT _shared_cdn_host(h) ELSE _path_traversal_free(p) AND (lower(coalesce(p, '')) = lower(d_prefix) OR starts_with(lower(coalesce(p, '')), lower(d_prefix) || '/')) END);
url match stops preferring the most specific host	macro_citation_root_for_url	CREATE OR REPLACE MACRO citation_root_for_url(u) AS (SELECT d.root_citation_source_id FROM citation_root_domains d WHERE citation_domain_eligible(url_host(u), url_path(u), d.host, d.path_prefix) ORDER BY length(d.host) ASC, length(d.path_prefix) DESC LIMIT 1);
url match stops preferring the longest prefix	macro_citation_root_for_url_prefix_order	CREATE OR REPLACE MACRO citation_root_for_url(u) AS (SELECT d.root_citation_source_id FROM citation_root_domains d WHERE citation_domain_eligible(url_host(u), url_path(u), d.host, d.path_prefix) ORDER BY length(d.host) DESC, length(d.path_prefix) ASC LIMIT 1);
bare recognition row planted on a shared CDN host	shared_cdn_bare_root_domain	CREATE TABLE _m AS SELECT * FROM citation_root_domains; CREATE OR REPLACE VIEW citation_root_domains AS SELECT * FROM _m UNION ALL SELECT * REPLACE ('img1.wsimg.com' AS host, '' AS path_prefix) FROM (SELECT * FROM _m LIMIT 1);
domain eligibility honors a prefixed row on an ordinary host	macro_citation_domain_eligible	CREATE OR REPLACE MACRO citation_domain_eligible(h, p, d_host, d_prefix) AS ((host_norm(h) = d_host OR ends_with(host_norm(h), '.' || d_host)) AND CASE WHEN d_prefix = '' THEN NOT _shared_cdn_host(h) ELSE _path_traversal_free(p) AND (coalesce(p, '') = d_prefix OR starts_with(coalesce(p, ''), d_prefix || '/')) END);
prefixed recognition row planted on an ordinary host	path_scoped_row_on_ordinary_host	CREATE TABLE _m AS SELECT * FROM citation_root_domains; CREATE OR REPLACE VIEW citation_root_domains AS SELECT * FROM _m UNION ALL SELECT * REPLACE ('cardonapinball.com' AS host, '/files' AS path_prefix) FROM (SELECT * FROM _m LIMIT 1);
recognition host on a child source	root_domain_on_non_root	CREATE TABLE _m AS SELECT * FROM citation_sources; CREATE OR REPLACE VIEW citation_sources AS SELECT * REPLACE (false AS is_root) FROM _m;
macro comment dropped	undocumented_macro	COMMENT ON MACRO name_key IS NULL;
# root_family_incomplete must be mutated on a LEAF view. It scans information_schema for
# every view carrying root_citation_source_id, so any of them proves it fires — but
# EXCLUDEing the column from citation_instances no longer binds: patch_cites selects
# ci.root_identifier_key off it, so the mutation dies as a binder error instead of
# reaching the check. patch_entry_cites is the leaf. Don't 'restore' this to the
# canonical view — it was moved here because it had to be.
root family loses the stable key	root_family_incomplete	CREATE TABLE _m AS SELECT * FROM patch_entry_cites; CREATE OR REPLACE VIEW patch_entry_cites AS SELECT * EXCLUDE (root_identifier_key) FROM _m;
source kill switch desyncs from its actor mirror	ingest_source_enabled_desyncs	CREATE TABLE _m AS SELECT * FROM ingest_sources; CREATE OR REPLACE VIEW ingest_sources AS SELECT * REPLACE (NOT is_enabled AS is_enabled) FROM _m;
changesets derived from claims, losing retraction-only rows	changeset_rows_dropped	CREATE TABLE _m AS SELECT * FROM changesets; CREATE OR REPLACE VIEW changesets AS SELECT * FROM _m WHERE changeset_id IN (SELECT changeset_id FROM claims);
changeset that neither wrote nor retracted	inert_changeset	CREATE TABLE _m AS SELECT * FROM changesets; CREATE OR REPLACE VIEW changesets AS SELECT * REPLACE (CASE WHEN changeset_id = (SELECT min(changeset_id) FROM _m) THEN 0::BIGINT ELSE n_claims END AS n_claims, CASE WHEN changeset_id = (SELECT min(changeset_id) FROM _m) THEN 0::BIGINT ELSE n_retracted END AS n_retracted) FROM _m;
